Material number,Material description,Size,Total stock
7000027307,"RESPIRÁTOR 3M 9322",N/A,15
7000027113,"PÁNSKÉ KALHOTY PÁS REX",M,109
7000027113,"PÁNSKÉ KALHOTY PÁS REX",L,50
7000027114,"DÁMSKÁ BLŮZA REX",S,2
7000027114,"DÁMSKÁ BLŮZA REX",M,0
7000027114,"DÁMSKÁ BLŮZA REX",L,0
7000027115,"PÁNSKÁ BLŮZA REX",M,10
7000027115,"PÁNSKÁ BLŮZA REX",L,10
7000027116,"POLOBOTKY S1P",M,26
7000027117,"PÁNSKÉ KALHOTY LACL REX",M,2
7000027123,"PÁNSKÁ VESTA NEXT",M,20
7000027124,"PÁNSKÁ BUNDA SOFTSHELL",M,22
7000027147,"PÁNSKÉ TRIČKO K.R. BASIC 129",M,196
7000027418,"RUKAVICE RUBIPOR XS 2001",N/A,1511
7000027591,"PÁNSKÉ TRIČKO D.R. U09206",M,61
7000027592,"P.MIKINA AVENTURE 407 U09206",M,31
7000027109,"RUKAVICE HYFLEX 11-624",N/A,156
7000028649,"OCHRANNÁ SLUCHÁTKA, POCKET",N/A,2
7000028362,"RUKAVICE ALPHATEC 37-675",N/A,186
7000029676,"OCHRANNÉ RUKAVICE PROTIPOŘEZ LEVEL C",N/A,54
7000029841,"MIKINA FEINTOOL",M,9
7000030106,"DÁMSKÁ BUNDA SOFTSHELL",M,17
